,Distrito,Tipo I,Ases.,Viol.,Robo,Agr. Grave,Esc.,Apr. I,H. Auto,Date
63,Hormigueros,26,0.0,0.0,2.0,0.0,14.0,8,2.0,2010-01-01
64,Hatillo,29,0.0,0.0,3.0,0.0,9.0,3,14.0,2010-01-01
65,Gurabo,23,0.0,0.0,5.0,2.0,11.0,3,2.0,2010-01-01
66,Guaynabo,159,3.0,0.0,27.0,5.0,23.0,88,13.0,2010-01-01
67,Guayanilla,12,0.0,0.0,0.0,1.0,4.0,5,2.0,2010-01-01
68,Jayuya,14,0.0,0.0,1.0,1.0,5.0,7,0.0,2010-01-01
69,Juncos,22,0.0,0.0,6.0,1.0,8.0,2,5.0,2010-01-01
70,Guánica,10,0.0,0.0,2.0,2.0,1.0,5,0.0,2010-01-01
71,Florida,12,0.0,0.0,0.0,0.0,8.0,3,1.0,2010-01-01
72,Fajardo,38,1.0,0.0,7.0,0.0,10.0,18,2.0,2010-01-01
73,Dorado,52,2.0,0.0,6.0,4.0,9.0,24,7.0,2010-01-01
74,Culebra,3,0.0,0.0,0.0,0.0,2.0,1,0.0,2010-01-01
75,Corozal,59,0.0,1.0,7.0,3.0,14.0,23,11.0,2010-01-01
76,Comerío,28,0.0,0.0,5.0,4.0,11.0,7,1.0,2010-01-01
77,Guayama,59,2.0,0.0,1.0,3.0,13.0,37,3.0,2010-01-01
78,Ponce,505,15.0,0.0,54.0,41.0,102.0,248,45.0,2010-02-01
79,Peñuelas,24,0.0,1.0,4.0,1.0,8.0,7,3.0,2010-02-01
80,Patillas,30,0.0,0.0,1.0,7.0,14.0,8,0.0,2010-02-01
81,Orocovis,56,0.0,0.0,0.0,2.0,35.0,18,1.0,2010-02-01
82,Naranjito,60,1.0,0.0,5.0,3.0,20.0,22,9.0,2010-02-01
83,Naguabo,47,3.0,0.0,4.0,5.0,26.0,8,1.0,2010-02-01
84,Morovis,36,0.0,0.0,1.0,3.0,18.0,7,7.0,2010-02-01
85,Quebradillas,20,0.0,0.0,1.0,0.0,8.0,11,0.0,2010-02-01
86,Mayagüez,319,2.0,0.0,20.0,9.0,83.0,181,24.0,2010-02-01
87,Maunabo,11,0.0,0.0,1.0,3.0,6.0,1,0.0,2010-02-01
88,Maricao,25,0.0,0.0,0.0,0.0,12.0,13,0.0,2010-02-01
89,Luquillo,75,4.0,0.0,0.0,9.0,35.0,26,1.0,2010-02-01
90,Loiza,80,2.0,0.0,9.0,5.0,24.0,33,7.0,2010-02-01
91,Las Piedras,76,1.0,0.0,12.0,3.0,33.0,25,2.0,2010-02-01
92,Las Marías,17,0.0,0.0,1.0,0.0,13.0,3,0.0,2010-02-01
93,Moca,30,0.0,0.0,1.0,1.0,14.0,11,3.0,2010-02-01
94,Manatí,77,1.0,0.0,3.0,3.0,21.0,13,36.0,2010-02-01
95,Yauco,77,0.0,0.0,11.0,6.0,19.0,31,10.0,2010-02-01
96,Sabana Grande,50,0.0,0.0,2.0,1.0,15.0,31,1.0,2010-02-01
97,Lares,103,0.0,0.0,7.0,3.0,49.0,41,3.0,2010-02-01
98,Yabucoa,82,0.0,0.0,10.0,5.0,37.0,29,1.0,2010-02-01
99,Villalba,15,0.0,0.0,1.0,1.0,8.0,2,3.0,2010-02-01
100,Vieques,43,1.0,0.0,2.0,2.0,17.0,20,1.0,2010-02-01
101,Vega Baja,114,2.0,0.0,19.0,5.0,26.0,32,30.0,2010-02-01
102,Vega Alta,114,1.0,0.0,16.0,9.0,20.0,35,33.0,2010-02-01
103,Utuado,157,0.0,0.0,4.0,3.0,73.0,76,1.0,2010-02-01
104,Rio Grande,97,2.0,0.0,24.0,6.0,28.0,33,4.0,2010-02-01
105,Trujillo Alto,164,1.0,0.0,19.0,8.0,62.0,59,15.0,2010-02-01
106,Toa Alta,83,1.0,0.0,13.0,3.0,33.0,19,14.0,2010-02-01
107,Santa Isabel,56,3.0,0.0,4.0,2.0,16.0,28,3.0,2010-02-01
108,San Sebastián,100,0.0,1.0,3.0,7.0,48.0,34,7.0,2010-02-01
109,San Lorenzo,51,4.0,0.0,7.0,2.0,27.0,9,2.0,2010-02-01
110,San Juan,1682,29.0,1.0,273.0,57.0,237.0,853,232.0,2010-02-01
111,San Germán,26,0.0,0.0,1.0,0.0,11.0,12,2.0,2010-02-01
112,Salinas,139,2.0,0.0,4.0,7.0,42.0,78,6.0,2010-02-01
113,Toa Baja,244,2.0,0.0,51.0,7.0,63.0,85,36.0,2010-02-01
114,Lajas,29,0.0,0.0,4.0,0.0,13.0,11,1.0,2010-02-01
115,Rincón,22,0.0,0.0,0.0,0.0,9.0,13,0.0,2010-02-01
116,Juncos,45,4.0,0.0,8.0,2.0,19.0,5,7.0,2010-02-01
117,Cataño,48,0.0,0.0,2.0,3.0,14.0,26,3.0,2010-02-01
118,Carolina,529,8.0,0.0,93.0,17.0,88.0,272,51.0,2010-02-01
119,Canóvanas,123,6.0,0.0,17.0,11.0,48.0,38,3.0,2010-02-01
120,Camuy,24,0.0,0.0,4.0,0.0,13.0,3,4.0,2010-02-01
121,Caguas,366,1.0,0.0,48.0,18.0,134.0,122,43.0,2010-02-01
122,Cabo Rojo,68,0.0,0.0,3.0,2.0,37.0,19,7.0,2010-02-01
123,Bayamón,1230,7.0,0.0,166.0,26.0,245.0,617,169.0,2010-02-01
124,Barranquitas,99,4.0,0.0,6.0,12.0,38.0,34,5.0,2010-02-01
125,Barceloneta,46,3.0,0.0,4.0,0.0,17.0,0,22.0,2010-02-01
126,Arroyo,31,0.0,0.0,1.0,2.0,15.0,13,0.0,2010-02-01
127,Arecibo,177,5.0,0.0,16.0,12.0,73.0,28,43.0,2010-02-01
128,Añasco,39,0.0,0.0,5.0,3.0,18.0,12,1.0,2010-02-01
129,Aibonito,87,1.0,0.0,3.0,4.0,34.0,38,7.0,2010-02-01
130,Aguas Buenas,44,0.0,0.0,4.0,7.0,24.0,8,1.0,2010-02-01
131,Aguadilla,154,0.0,0.0,10.0,6.0,77.0,60,1.0,2010-02-01
132,Aguada ,73,0.0,0.0,2.0,7.0,33.0,29,2.0,2010-02-01
133,Juana Díaz,72,5.0,0.0,6.0,4.0,26.0,27,4.0,2010-02-01
134,Cayey,207,6.0,0.0,8.0,6.0,49.0,132,6.0,2010-02-01
135,Ceiba,19,1.0,0.0,2.0,2.0,8.0,6,0.0,2010-02-01
136,Adjuntas,68,0.0,0.0,4.0,2.0,28.0,32,2.0,2010-02-01
137,Cidra,62,3.0,1.0,5.0,11.0,32.0,10,0.0,2010-02-01
138,Ciales,21,0.0,0.0,1.0,3.0,10.0,5,2.0,2010-02-01
139,Isabela,38,1.0,0.0,4.0,1.0,21.0,10,1.0,2010-02-01
140,Humacao,255,1.0,0.0,19.0,9.0,122.0,103,1.0,2010-02-01
141,Hormigueros,37,0.0,0.0,2.0,0.0,19.0,13,3.0,2010-02-01
142,Hatillo,58,0.0,0.0,3.0,1.0,23.0,10,21.0,2010-02-01
143,Gurabo,43,0.0,0.0,5.0,2.0,23.0,7,6.0,2010-02-01
144,Guaynabo,311,8.0,0.0,42.0,9.0,47.0,179,26.0,2010-02-01
145,Guayanilla,24,0.0,0.0,1.0,1.0,8.0,12,2.0,2010-02-01
146,Jayuya,25,0.0,0.0,1.0,2.0,10.0,11,1.0,2010-02-01
147,Guánica,19,0.0,0.0,2.0,3.0,4.0,9,1.0,2010-02-01
148,Florida,24,0.0,0.0,0.0,0.0,15.0,6,3.0,2010-02-01
149,Fajardo,88,2.0,0.0,14.0,2.0,27.0,38,5.0,2010-02-01
150,Dorado,101,2.0,0.0,14.0,11.0,22.0,38,14.0,2010-02-01
151,Culebra,10,0.0,0.0,0.0,0.0,6.0,4,0.0,2010-02-01
152,Corozal,93,0.0,1.0,9.0,7.0,21.0,32,23.0,2010-02-01
153,Comerío,52,1.0,0.0,6.0,9.0,18.0,17,1.0,2010-02-01
154,Guayama,135,3.0,0.0,6.0,12.0,38.0,72,4.0,2010-02-01
155,Coamo,91,2.0,1.0,3.0,3.0,36.0,40,6.0,2010-02-01
156,Peñuelas,41,0.0,1.0,9.0,2.0,14.0,12,3.0,2010-03-01
157,Patillas,48,1.0,0.0,2.0,7.0,22.0,16,0.0,2010-03-01
158,Orocovis,101,0.0,0.0,0.0,5.0,55.0,31,10.0,2010-03-01
159,Naranjito,101,1.0,0.0,7.0,3.0,37.0,37,16.0,2010-03-01
160,Naguabo,68,3.0,0.0,6.0,5.0,38.0,15,1.0,2010-03-01
161,Morovis,52,0.0,0.0,2.0,4.0,30.0,9,7.0,2010-03-01
162,Moca,58,0.0,0.0,2.0,2.0,31.0,19,4.0,2010-03-01
163,Manatí,118,2.0,0.0,6.0,3.0,34.0,25,48.0,2010-03-01
164,Maunabo,30,0.0,0.0,2.0,8.0,13.0,7,0.0,2010-03-01
165,Maricao,34,0.0,0.0,0.0,2.0,17.0,15,0.0,2010-03-01
166,Luquillo,117,4.0,0.0,1.0,18.0,44.0,45,5.0,2010-03-01
167,Loiza,125,4.0,0.0,12.0,7.0,36.0,58,8.0,2010-03-01
168,Las Piedras,112,1.0,0.0,14.0,6.0,46.0,43,2.0,2010-03-01
169,Las Marías,31,0.0,0.0,2.0,0.0,19.0,9,1.0,2010-03-01
170,Ponce,802,21.0,2.0,72.0,61.0,175.0,401,70.0,2010-03-01
171,Mayagüez,514,3.0,0.0,36.0,21.0,161.0,267,26.0,2010-03-01
172,Lares,140,0.0,0.0,8.0,5.0,68.0,55,4.0,2010-03-01
173,San Sebastián,125,0.0,1.0,3.0,8.0,63.0,41,9.0,2010-03-01
174,Rincón,51,0.0,0.0,0.0,2.0,17.0,31,1.0,2010-03-01
175,Lajas,41,0.0,0.0,4.0,0.0,21.0,15,1.0,2010-03-01
176,Yabucoa,137,0.0,0.0,13.0,8.0,65.0,50,1.0,2010-03-01
177,Villalba,24,0.0,0.0,2.0,1.0,11.0,5,5.0,2010-03-01
178,Vieques,61,2.0,0.0,2.0,2.0,29.0,25,1.0,2010-03-01
179,Vega Baja,170,2.0,0.0,22.0,6.0,40.0,55,45.0,2010-03-01
180,Vega Alta,156,4.0,0.0,20.0,11.0,27.0,44,50.0,2010-03-01
181,Utuado,250,0.0,0.0,9.0,4.0,115.0,117,5.0,2010-03-01
182,Trujillo Alto,227,1.0,0.0,27.0,9.0,89.0,82,19.0,2010-03-01
183,Toa Baja,367,6.0,0.0,67.0,10.0,94.0,126,64.0,2010-03-01
184,Toa Alta,123,1.0,0.0,16.0,6.0,47.0,28,25.0,2010-03-01
185,Santa Isabel,99,3.0,0.0,6.0,3.0,32.0,49,6.0,2010-03-01
186,San Lorenzo,81,5.0,0.0,11.0,3.0,49.0,10,3.0,2010-03-01
187,San Juan,2561,41.0,1.0,387.0,84.0,400.0,1284,364.0,2010-03-01
188,San Germán,44,0.0,0.0,2.0,0.0,20.0,17,5.0,2010-03-01
189,Salinas,196,2.0,0.0,8.0,8.0,56.0,115,7.0,2010-03-01
190,Sabana Grande,60,0.0,0.0,2.0,1.0,19.0,37,1.0,2010-03-01
191,Rio Grande,139,4.0,0.0,33.0,9.0,45.0,43,5.0,2010-03-01
192,Quebradillas,30,0.0,0.0,1.0,0.0,11.0,16,2.0,2010-03-01
193,Juncos,68,5.0,0.0,12.0,2.0,30.0,12,7.0,2010-03-01
194,Yauco,113,0.0,0.0,15.0,10.0,27.0,46,15.0,2010-03-01
195,Jayuya,35,0.0,0.0,1.0,2.0,18.0,13,1.0,2010-03-01
196,Carolina,794,10.0,0.0,127.0,27.0,141.0,421,68.0,2010-03-01
197,Canóvanas,170,10.0,0.0,21.0,13.0,67.0,53,6.0,2010-03-01
198,Camuy,39,0.0,0.0,4.0,0.0,26.0,4,5.0,2010-03-01
