region,total_customers,affected_customers,created_at
CAGUAS,250514,0,2022-12-24T06:00:00
MAYAGUEZ,216605,0,2022-12-24T06:00:00
PONCE,212508,3,2022-12-24T06:00:00
SAN JUAN,253068,3,2022-12-24T06:00:00
ARECIBO,177369,2,2022-12-04T00:00:00
BAYAMON,216496,400,2022-12-04T00:00:00
CAROLINA,141663,1,2022-12-04T00:00:00
CAGUAS,250514,17,2022-12-04T00:00:00
MAYAGUEZ,216605,16,2022-12-04T00:00:00
PONCE,212508,14,2022-12-04T00:00:00
SAN JUAN,253068,26,2022-12-04T00:00:00
ARECIBO,177369,17,2021-10-15T12:00:00
BAYAMON,216496,298,2021-10-15T12:00:00
CAROLINA,141663,313,2021-10-15T12:00:00
CAGUAS,250514,8609,2021-10-15T12:00:00
MAYAGUEZ,216605,36,2021-10-15T12:00:00
PONCE,212508,42,2021-10-15T12:00:00
SAN JUAN,253068,398,2021-10-15T12:00:00
ARECIBO,177369,33,2022-11-13T00:00:00
BAYAMON,216496,1,2022-11-13T00:00:00
CAROLINA,141663,11,2022-11-13T00:00:00
CAGUAS,250514,27,2022-11-13T00:00:00
MAYAGUEZ,216605,41,2022-11-13T00:00:00
PONCE,212508,548,2022-11-13T00:00:00
SAN JUAN,253068,1,2022-11-13T00:00:00
ARECIBO,177369,385,2022-09-16T18:00:00
BAYAMON,216496,8226,2022-09-16T18:00:00
CAROLINA,141663,80,2022-09-16T18:00:00
CAGUAS,250514,2903,2022-09-16T18:00:00
MAYAGUEZ,216605,343,2022-09-16T18:00:00
PONCE,212508,3828,2022-09-16T18:00:00
SAN JUAN,253068,242,2022-09-16T18:00:00
ARECIBO,177369,1014,2022-04-10T12:00:00
BAYAMON,216496,886,2022-04-10T12:00:00
CAROLINA,141663,4,2022-04-10T12:00:00
CAGUAS,250514,474,2022-04-10T12:00:00
MAYAGUEZ,216605,115,2022-04-10T12:00:00
PONCE,212508,109,2022-04-10T12:00:00
SAN JUAN,253068,144,2022-04-10T12:00:00
ARECIBO,177369,63,2021-11-04T00:00:00
BAYAMON,216496,103,2021-11-04T00:00:00
CAROLINA,141663,8,2021-11-04T00:00:00
CAGUAS,250514,62,2021-11-04T00:00:00
MAYAGUEZ,216605,204,2021-11-04T00:00:00
PONCE,212508,0,2021-11-04T00:00:00
SAN JUAN,253068,642,2021-11-04T00:00:00
ARECIBO,177369,14,2021-10-23T00:00:00
BAYAMON,216496,854,2021-10-23T00:00:00
CAROLINA,141663,111,2021-10-23T00:00:00
CAGUAS,250514,200,2021-10-23T00:00:00
MAYAGUEZ,216605,855,2021-10-23T00:00:00
PONCE,212508,2124,2021-10-23T00:00:00
SAN JUAN,253068,585,2021-10-23T00:00:00
ARECIBO,177369,9,2022-11-16T06:00:00
BAYAMON,216496,17,2022-11-16T06:00:00
CAROLINA,141663,15,2022-11-16T06:00:00
CAGUAS,250514,25,2022-11-16T06:00:00
MAYAGUEZ,216605,117,2022-11-16T06:00:00
PONCE,212508,709,2022-11-16T06:00:00
SAN JUAN,253068,101,2022-11-16T06:00:00
ARECIBO,177369,961,2022-05-16T12:00:00
BAYAMON,216496,154,2022-05-16T12:00:00
CAROLINA,141663,52,2022-05-16T12:00:00
CAGUAS,250514,244,2022-05-16T12:00:00
MAYAGUEZ,216605,1300,2022-05-16T12:00:00
PONCE,212508,566,2022-05-16T12:00:00
SAN JUAN,253068,4,2022-05-16T12:00:00
ARECIBO,177369,30,2023-05-01T03:00:00
BAYAMON,216496,3591,2023-05-01T03:00:00
CAROLINA,141663,3,2023-05-01T03:00:00
CAGUAS,250514,1205,2023-05-01T03:00:00
MAYAGUEZ,216605,5,2023-05-01T03:00:00
PONCE,212508,43,2023-05-01T03:00:00
SAN JUAN,253068,138,2023-05-01T03:00:00
ARECIBO,177369,1,2022-12-14T03:00:00
BAYAMON,216496,0,2022-12-14T03:00:00
CAROLINA,141663,9,2022-12-14T03:00:00
CAGUAS,250514,1004,2022-12-14T03:00:00
MAYAGUEZ,216605,2,2022-12-14T03:00:00
PONCE,212508,2,2022-12-14T03:00:00
SAN JUAN,253068,3,2022-12-14T03:00:00
ARECIBO,177369,1635,2023-04-06T18:00:00
BAYAMON,216496,595,2023-04-06T18:00:00
CAROLINA,141663,724,2023-04-06T18:00:00
CAGUAS,250514,354,2023-04-06T18:00:00
MAYAGUEZ,216605,377,2023-04-06T18:00:00
PONCE,212508,3833,2023-04-06T18:00:00
SAN JUAN,253068,2409,2023-04-06T18:00:00
ARECIBO,177369,82,2023-02-12T21:00:00
BAYAMON,216496,80,2023-02-12T21:00:00
CAROLINA,141663,0,2023-02-12T21:00:00
CAGUAS,250514,10,2023-02-12T21:00:00
MAYAGUEZ,216605,18,2023-02-12T21:00:00
PONCE,212508,54,2023-02-12T21:00:00
SAN JUAN,253068,136,2023-02-12T21:00:00
ARECIBO,177369,1169,2023-05-04T15:00:00
BAYAMON,216496,24,2023-05-04T15:00:00
CAROLINA,141663,238,2023-05-04T15:00:00
CAGUAS,250514,1536,2023-05-04T15:00:00
MAYAGUEZ,216605,374,2023-05-04T15:00:00
PONCE,212508,2375,2023-05-04T15:00:00
SAN JUAN,253068,238,2023-05-04T15:00:00
ARECIBO,177369,6,2023-01-31T06:00:00
BAYAMON,216496,2,2023-01-31T06:00:00
CAROLINA,141663,9,2023-01-31T06:00:00
CAGUAS,250514,296,2023-01-31T06:00:00
MAYAGUEZ,216605,0,2023-01-31T06:00:00
PONCE,212508,5,2023-01-31T06:00:00
SAN JUAN,253068,4,2023-01-31T06:00:00
ARECIBO,177369,3,2023-01-24T03:00:00
BAYAMON,216496,187,2023-01-24T03:00:00
CAROLINA,141663,15,2023-01-24T03:00:00
CAGUAS,250514,260,2023-01-24T03:00:00
MAYAGUEZ,216605,0,2023-01-24T03:00:00
PONCE,212508,0,2023-01-24T03:00:00
SAN JUAN,253068,48,2023-01-24T03:00:00
ARECIBO,177369,125,2022-08-26T12:00:00
BAYAMON,216496,92,2022-08-26T12:00:00
CAROLINA,141663,7,2022-08-26T12:00:00
CAGUAS,250514,167,2022-08-26T12:00:00
MAYAGUEZ,216605,34,2022-08-26T12:00:00
PONCE,212508,3,2022-08-26T12:00:00
SAN JUAN,253068,281,2022-08-26T12:00:00
ARECIBO,177369,26,2022-12-26T12:00:00
BAYAMON,216496,1,2022-12-26T12:00:00
CAROLINA,141663,1,2022-12-26T12:00:00
CAGUAS,250514,2,2022-12-26T12:00:00
MAYAGUEZ,216605,449,2022-12-26T12:00:00
PONCE,212508,20,2022-12-26T12:00:00
SAN JUAN,253068,96,2022-12-26T12:00:00
ARECIBO,177369,13,2023-01-22T12:00:00
BAYAMON,216496,0,2023-01-22T12:00:00
CAROLINA,141663,2,2023-01-22T12:00:00
CAGUAS,250514,2,2023-01-22T12:00:00
MAYAGUEZ,216605,608,2023-01-22T12:00:00
PONCE,212508,18,2023-01-22T12:00:00
SAN JUAN,253068,12691,2023-01-22T12:00:00
ARECIBO,177369,159,2022-11-26T15:00:00
BAYAMON,216496,226,2022-11-26T15:00:00
CAROLINA,141663,1,2022-11-26T15:00:00
CAGUAS,250514,52,2022-11-26T15:00:00
MAYAGUEZ,216605,6,2022-11-26T15:00:00
PONCE,212508,14,2022-11-26T15:00:00
SAN JUAN,253068,557,2022-11-26T15:00:00
ARECIBO,177369,107,2022-01-22T18:00:00
BAYAMON,216496,5,2022-01-22T18:00:00
CAROLINA,141663,23,2022-01-22T18:00:00
CAGUAS,250514,16,2022-01-22T18:00:00
MAYAGUEZ,216605,341,2022-01-22T18:00:00
PONCE,212508,2,2022-01-22T18:00:00
SAN JUAN,253068,67,2022-01-22T18:00:00
ARECIBO,177369,305,2022-07-13T12:00:00
BAYAMON,216496,3436,2022-07-13T12:00:00
CAROLINA,141663,296,2022-07-13T12:00:00
CAGUAS,250514,96,2022-07-13T12:00:00
MAYAGUEZ,216605,60,2022-07-13T12:00:00
PONCE,212508,9,2022-07-13T12:00:00
SAN JUAN,253068,551,2022-07-13T12:00:00
ARECIBO,177369,59,2022-11-13T06:00:00
BAYAMON,216496,18,2022-11-13T06:00:00
CAROLINA,141663,11,2022-11-13T06:00:00
CAGUAS,250514,37,2022-11-13T06:00:00
MAYAGUEZ,216605,321,2022-11-13T06:00:00
PONCE,212508,65,2022-11-13T06:00:00
SAN JUAN,253068,2,2022-11-13T06:00:00
ARECIBO,177369,75,2022-11-01T09:00:00
BAYAMON,216496,0,2022-11-01T09:00:00
CAROLINA,141663,10,2022-11-01T09:00:00
CAGUAS,250514,190,2022-11-01T09:00:00
MAYAGUEZ,216605,61,2022-11-01T09:00:00
PONCE,212508,1522,2022-11-01T09:00:00
SAN JUAN,253068,47,2022-11-01T09:00:00
ARECIBO,177369,684,2023-04-29T18:00:00
BAYAMON,216496,909,2023-04-29T18:00:00
CAROLINA,141663,7915,2023-04-29T18:00:00
CAGUAS,250514,20748,2023-04-29T18:00:00
MAYAGUEZ,216605,6945,2023-04-29T18:00:00
PONCE,212508,7665,2023-04-29T18:00:00
SAN JUAN,253068,371,2023-04-29T18:00:00
ARECIBO,177369,20,2022-08-11T18:00:00
BAYAMON,216496,41,2022-08-11T18:00:00
CAROLINA,141663,295,2022-08-11T18:00:00
CAGUAS,250514,1111,2022-08-11T18:00:00
MAYAGUEZ,216605,3069,2022-08-11T18:00:00
PONCE,212508,3889,2022-08-11T18:00:00
SAN JUAN,253068,731,2022-08-11T18:00:00
ARECIBO,177369,2,2022-03-30T12:00:00
BAYAMON,216496,288,2022-03-30T12:00:00
CAROLINA,141663,135,2022-03-30T12:00:00
CAGUAS,250514,156,2022-03-30T12:00:00
MAYAGUEZ,216605,228,2022-03-30T12:00:00
PONCE,212508,20,2022-03-30T12:00:00
SAN JUAN,253068,416,2022-03-30T12:00:00
ARECIBO,177369,171,2022-09-12T06:00:00
BAYAMON,216496,123,2022-09-12T06:00:00
CAROLINA,141663,7,2022-09-12T06:00:00
CAGUAS,250514,178,2022-09-12T06:00:00
MAYAGUEZ,216605,10,2022-09-12T06:00:00
PONCE,212508,7,2022-09-12T06:00:00
SAN JUAN,253068,351,2022-09-12T06:00:00
ARECIBO,177369,5,2023-03-07T12:00:00
BAYAMON,216496,1836,2023-03-07T12:00:00
CAROLINA,141663,1,2023-03-07T12:00:00
CAGUAS,250514,182,2023-03-07T12:00:00
MAYAGUEZ,216605,26,2023-03-07T12:00:00
PONCE,212508,1,2023-03-07T12:00:00
SAN JUAN,253068,2,2023-03-07T12:00:00
ARECIBO,177369,21,2022-08-14T06:00:00
BAYAMON,216496,5,2022-08-14T06:00:00
CAROLINA,141663,2,2022-08-14T06:00:00
CAGUAS,250514,73,2022-08-14T06:00:00
MAYAGUEZ,216605,179,2022-08-14T06:00:00
PONCE,212508,69,2022-08-14T06:00:00
SAN JUAN,253068,2277,2022-08-14T06:00:00
ARECIBO,177369,41,2022-10-21T09:00:00
BAYAMON,216496,347,2022-10-21T09:00:00
CAROLINA,141663,6,2022-10-21T09:00:00
CAGUAS,250514,230,2022-10-21T09:00:00
MAYAGUEZ,216605,564,2022-10-21T09:00:00
PONCE,212508,351,2022-10-21T09:00:00
SAN JUAN,253068,73,2022-10-21T09:00:00
ARECIBO,177369,3727,2021-10-03T06:00:00
BAYAMON,216496,1272,2021-10-03T06:00:00
CAROLINA,141663,906,2021-10-03T06:00:00
CAGUAS,250514,652,2021-10-03T06:00:00
MAYAGUEZ,216605,2039,2021-10-03T06:00:00
PONCE,212508,448,2021-10-03T06:00:00
SAN JUAN,253068,538,2021-10-03T06:00:00
ARECIBO,177369,14,2022-04-21T06:00:00
BAYAMON,216496,79,2022-04-21T06:00:00
CAROLINA,141663,1008,2022-04-21T06:00:00
CAGUAS,250514,1937,2022-04-21T06:00:00
MAYAGUEZ,216605,5,2022-04-21T06:00:00
PONCE,212508,3,2022-04-21T06:00:00
SAN JUAN,253068,0,2022-04-21T06:00:00
ARECIBO,177369,5046,2023-03-14T15:00:00
BAYAMON,216496,839,2023-03-14T15:00:00
CAROLINA,141663,23269,2023-03-14T15:00:00
CAGUAS,250514,12583,2023-03-14T15:00:00
MAYAGUEZ,216605,14367,2023-03-14T15:00:00
PONCE,212508,8228,2023-03-14T15:00:00
SAN JUAN,253068,4739,2023-03-14T15:00:00
ARECIBO,177369,158,2022-03-18T18:00:00
BAYAMON,216496,219,2022-03-18T18:00:00
CAROLINA,141663,2,2022-03-18T18:00:00
CAGUAS,250514,128,2022-03-18T18:00:00
MAYAGUEZ,216605,302,2022-03-18T18:00:00
PONCE,212508,46,2022-03-18T18:00:00
SAN JUAN,253068,161,2022-03-18T18:00:00
ARECIBO,177369,610,2022-07-02T18:00:00
BAYAMON,216496,2779,2022-07-02T18:00:00
CAROLINA,141663,3287,2022-07-02T18:00:00
CAGUAS,250514,26805,2022-07-02T18:00:00
MAYAGUEZ,216605,1550,2022-07-02T18:00:00
PONCE,212508,51,2022-07-02T18:00:00
SAN JUAN,253068,3738,2022-07-02T18:00:00
ARECIBO,177369,39074,2022-10-01T15:00:00
BAYAMON,216496,3964,2022-10-01T15:00:00
CAROLINA,141663,437,2022-10-01T15:00:00
CAGUAS,250514,22376,2022-10-01T15:00:00
MAYAGUEZ,216605,122525,2022-10-01T15:00:00
PONCE,212508,118826,2022-10-01T15:00:00
SAN JUAN,253068,1539,2022-10-01T15:00:00
ARECIBO,177369,180,2022-12-07T09:00:00
BAYAMON,216496,244,2022-12-07T09:00:00
CAROLINA,141663,66,2022-12-07T09:00:00
CAGUAS,250514,66,2022-12-07T09:00:00
MAYAGUEZ,216605,0,2022-12-07T09:00:00
PONCE,212508,84,2022-12-07T09:00:00
SAN JUAN,253068,8967,2022-12-07T09:00:00
ARECIBO,177369,187347,2022-09-20T00:00:00
BAYAMON,216496,101890,2022-09-20T00:00:00
CAROLINA,141663,69943,2022-09-20T00:00:00
CAGUAS,250514,243802,2022-09-20T00:00:00
MAYAGUEZ,216605,211166,2022-09-20T00:00:00
PONCE,212508,152331,2022-09-20T00:00:00
SAN JUAN,253068,51124,2022-09-20T00:00:00
ARECIBO,177369,270,2022-10-14T09:00:00
BAYAMON,216496,3,2022-10-14T09:00:00
CAROLINA,141663,165,2022-10-14T09:00:00
CAGUAS,250514,246,2022-10-14T09:00:00
MAYAGUEZ,216605,4607,2022-10-14T09:00:00
PONCE,212508,6076,2022-10-14T09:00:00
SAN JUAN,253068,135,2022-10-14T09:00:00
ARECIBO,177369,4648,2023-04-05T09:00:00
BAYAMON,216496,342,2023-04-05T09:00:00
CAROLINA,141663,854,2023-04-05T09:00:00
CAGUAS,250514,44,2023-04-05T09:00:00
MAYAGUEZ,216605,7497,2023-04-05T09:00:00
PONCE,212508,49,2023-04-05T09:00:00
SAN JUAN,253068,103,2023-04-05T09:00:00
ARECIBO,177369,109,2021-11-21T12:00:00
BAYAMON,216496,85,2021-11-21T12:00:00
CAROLINA,141663,233,2021-11-21T12:00:00
CAGUAS,250514,22,2021-11-21T12:00:00
MAYAGUEZ,216605,246,2021-11-21T12:00:00
PONCE,212508,3,2021-11-21T12:00:00
SAN JUAN,253068,389,2021-11-21T12:00:00
ARECIBO,177369,6,2022-02-21T18:00:00
BAYAMON,216496,4413,2022-02-21T18:00:00
CAROLINA,141663,23,2022-02-21T18:00:00
CAGUAS,250514,220,2022-02-21T18:00:00
MAYAGUEZ,216605,5,2022-02-21T18:00:00
PONCE,212508,147,2022-02-21T18:00:00
SAN JUAN,253068,1687,2022-02-21T18:00:00
ARECIBO,177369,67,2021-12-05T06:00:00
BAYAMON,216496,63,2021-12-05T06:00:00
CAROLINA,141663,126,2021-12-05T06:00:00
CAGUAS,250514,46,2021-12-05T06:00:00
MAYAGUEZ,216605,171,2021-12-05T06:00:00
PONCE,212508,1,2021-12-05T06:00:00
SAN JUAN,253068,75,2021-12-05T06:00:00
ARECIBO,177369,14,2021-12-28T00:00:00
BAYAMON,216496,4,2021-12-28T00:00:00
CAROLINA,141663,0,2021-12-28T00:00:00
CAGUAS,250514,140,2021-12-28T00:00:00
MAYAGUEZ,216605,72,2021-12-28T00:00:00
PONCE,212508,28,2021-12-28T00:00:00
SAN JUAN,253068,3,2021-12-28T00:00:00
ARECIBO,177369,37,2023-04-18T09:00:00
BAYAMON,216496,224,2023-04-18T09:00:00
CAROLINA,141663,126,2023-04-18T09:00:00
CAGUAS,250514,40,2023-04-18T09:00:00
MAYAGUEZ,216605,18,2023-04-18T09:00:00
PONCE,212508,5,2023-04-18T09:00:00
SAN JUAN,253068,57,2023-04-18T09:00:00
ARECIBO,177369,727,2022-02-08T18:00:00
BAYAMON,216496,1005,2022-02-08T18:00:00
CAROLINA,141663,18,2022-02-08T18:00:00
CAGUAS,250514,602,2022-02-08T18:00:00
MAYAGUEZ,216605,193,2022-02-08T18:00:00
PONCE,212508,1091,2022-02-08T18:00:00
SAN JUAN,253068,190,2022-02-08T18:00:00
ARECIBO,177369,6,2022-02-23T06:00:00
BAYAMON,216496,190,2022-02-23T06:00:00
CAROLINA,141663,2,2022-02-23T06:00:00
CAGUAS,250514,149,2022-02-23T06:00:00
MAYAGUEZ,216605,1,2022-02-23T06:00:00
PONCE,212508,12,2022-02-23T06:00:00
SAN JUAN,253068,12,2022-02-23T06:00:00
ARECIBO,177369,1068,2022-10-10T15:00:00
BAYAMON,216496,933,2022-10-10T15:00:00
CAROLINA,141663,569,2022-10-10T15:00:00
CAGUAS,250514,6747,2022-10-10T15:00:00
MAYAGUEZ,216605,19562,2022-10-10T15:00:00
PONCE,212508,11584,2022-10-10T15:00:00
SAN JUAN,253068,252,2022-10-10T15:00:00
ARECIBO,177369,370,2022-11-26T21:00:00
BAYAMON,216496,16,2022-11-26T21:00:00
CAROLINA,141663,18,2022-11-26T21:00:00
CAGUAS,250514,23,2022-11-26T21:00:00
MAYAGUEZ,216605,8,2022-11-26T21:00:00
PONCE,212508,2,2022-11-26T21:00:00
SAN JUAN,253068,40,2022-11-26T21:00:00
ARECIBO,177369,45,2021-12-20T12:00:00
BAYAMON,216496,8,2021-12-20T12:00:00
CAROLINA,141663,13,2021-12-20T12:00:00
CAGUAS,250514,309,2021-12-20T12:00:00
MAYAGUEZ,216605,114,2021-12-20T12:00:00
PONCE,212508,17,2021-12-20T12:00:00
SAN JUAN,253068,23,2021-12-20T12:00:00
ARECIBO,177369,1376,2022-09-02T18:00:00
BAYAMON,216496,6446,2022-09-02T18:00:00
CAROLINA,141663,510,2022-09-02T18:00:00
CAGUAS,250514,87,2022-09-02T18:00:00
MAYAGUEZ,216605,262,2022-09-02T18:00:00
PONCE,212508,3896,2022-09-02T18:00:00
SAN JUAN,253068,282,2022-09-02T18:00:00
ARECIBO,177369,3,2022-02-17T12:00:00
BAYAMON,216496,143,2022-02-17T12:00:00
CAROLINA,141663,12,2022-02-17T12:00:00
CAGUAS,250514,91,2022-02-17T12:00:00
MAYAGUEZ,216605,5,2022-02-17T12:00:00
PONCE,212508,22,2022-02-17T12:00:00
SAN JUAN,253068,331,2022-02-17T12:00:00
ARECIBO,177369,0,2023-02-10T03:00:00
BAYAMON,216496,34,2023-02-10T03:00:00
CAROLINA,141663,1,2023-02-10T03:00:00
CAGUAS,250514,92,2023-02-10T03:00:00
MAYAGUEZ,216605,13,2023-02-10T03:00:00
PONCE,212508,227,2023-02-10T03:00:00
SAN JUAN,253068,44,2023-02-10T03:00:00
ARECIBO,177369,642,2022-10-11T18:00:00
BAYAMON,216496,121,2022-10-11T18:00:00
CAROLINA,141663,5,2022-10-11T18:00:00
CAGUAS,250514,1124,2022-10-11T18:00:00
MAYAGUEZ,216605,19367,2022-10-11T18:00:00
PONCE,212508,5153,2022-10-11T18:00:00
SAN JUAN,253068,180,2022-10-11T18:00:00
ARECIBO,177369,208,2023-04-24T03:00:00
BAYAMON,216496,2549,2023-04-24T03:00:00
CAROLINA,141663,131,2023-04-24T03:00:00
CAGUAS,250514,386,2023-04-24T03:00:00
MAYAGUEZ,216605,25,2023-04-24T03:00:00
PONCE,212508,1,2023-04-24T03:00:00
SAN JUAN,253068,787,2023-04-24T03:00:00
ARECIBO,177369,24,2023-02-03T21:00:00
BAYAMON,216496,28,2023-02-03T21:00:00
CAROLINA,141663,11,2023-02-03T21:00:00
CAGUAS,250514,291,2023-02-03T21:00:00
MAYAGUEZ,216605,14,2023-02-03T21:00:00
PONCE,212508,221,2023-02-03T21:00:00
SAN JUAN,253068,129,2023-02-03T21:00:00
ARECIBO,177369,2096,2022-12-31T12:00:00
BAYAMON,216496,7,2022-12-31T12:00:00
CAROLINA,141663,0,2022-12-31T12:00:00
CAGUAS,250514,1,2022-12-31T12:00:00
MAYAGUEZ,216605,34,2022-12-31T12:00:00
PONCE,212508,36,2022-12-31T12:00:00
SAN JUAN,253068,36,2022-12-31T12:00:00
ARECIBO,177369,337,2022-02-11T01:00:00
BAYAMON,216496,5,2022-02-11T01:00:00
CAROLINA,141663,18,2022-02-11T01:00:00
CAGUAS,250514,278,2022-02-11T01:00:00
MAYAGUEZ,216605,85,2022-02-11T01:00:00
PONCE,212508,1,2022-02-11T01:00:00
SAN JUAN,253068,248,2022-02-11T01:00:00
ARECIBO,177369,31,2023-03-25T09:00:00
BAYAMON,216496,26,2023-03-25T09:00:00
CAROLINA,141663,6,2023-03-25T09:00:00
CAGUAS,250514,48,2023-03-25T09:00:00
MAYAGUEZ,216605,511,2023-03-25T09:00:00
PONCE,212508,8,2023-03-25T09:00:00
SAN JUAN,253068,7,2023-03-25T09:00:00
ARECIBO,177369,142,2023-03-02T12:00:00
BAYAMON,216496,311,2023-03-02T12:00:00
CAROLINA,141663,101,2023-03-02T12:00:00
CAGUAS,250514,508,2023-03-02T12:00:00
MAYAGUEZ,216605,58,2023-03-02T12:00:00
PONCE,212508,40,2023-03-02T12:00:00
SAN JUAN,253068,4,2023-03-02T12:00:00
ARECIBO,177369,414,2022-06-06T00:00:00
BAYAMON,216496,1611,2022-06-06T00:00:00
CAROLINA,141663,565,2022-06-06T00:00:00
CAGUAS,250514,43,2022-06-06T00:00:00
MAYAGUEZ,216605,442,2022-06-06T00:00:00
PONCE,212508,2,2022-06-06T00:00:00
SAN JUAN,253068,1372,2022-06-06T00:00:00
ARECIBO,177369,57,2022-10-29T15:00:00
BAYAMON,216496,265,2022-10-29T15:00:00
CAROLINA,141663,4,2022-10-29T15:00:00
CAGUAS,250514,5051,2022-10-29T15:00:00
MAYAGUEZ,216605,2016,2022-10-29T15:00:00
PONCE,212508,965,2022-10-29T15:00:00
SAN JUAN,253068,683,2022-10-29T15:00:00
ARECIBO,177369,17,2022-11-12T12:00:00
BAYAMON,216496,329,2022-11-12T12:00:00
CAROLINA,141663,329,2022-11-12T12:00:00
CAGUAS,250514,360,2022-11-12T12:00:00
MAYAGUEZ,216605,1089,2022-11-12T12:00:00
PONCE,212508,63,2022-11-12T12:00:00
SAN JUAN,253068,40,2022-11-12T12:00:00
ARECIBO,177369,6,2022-03-02T12:00:00
BAYAMON,216496,16,2022-03-02T12:00:00
CAROLINA,141663,10,2022-03-02T12:00:00
CAGUAS,250514,44,2022-03-02T12:00:00
MAYAGUEZ,216605,9,2022-03-02T12:00:00
PONCE,212508,78,2022-03-02T12:00:00
SAN JUAN,253068,66,2022-03-02T12:00:00
ARECIBO,177369,77,2023-03-19T18:00:00
BAYAMON,216496,892,2023-03-19T18:00:00
CAROLINA,141663,2,2023-03-19T18:00:00
CAGUAS,250514,185,2023-03-19T18:00:00
MAYAGUEZ,216605,23,2023-03-19T18:00:00
PONCE,212508,2108,2023-03-19T18:00:00
SAN JUAN,253068,2,2023-03-19T18:00:00
ARECIBO,177369,64,2023-01-24T00:00:00
BAYAMON,216496,1505,2023-01-24T00:00:00
CAROLINA,141663,0,2023-01-24T00:00:00
CAGUAS,250514,75,2023-01-24T00:00:00
MAYAGUEZ,216605,15,2023-01-24T00:00:00
PONCE,212508,154,2023-01-24T00:00:00
SAN JUAN,253068,83,2023-01-24T00:00:00
ARECIBO,177369,873,2022-10-10T03:00:00
BAYAMON,216496,182,2022-10-10T03:00:00
CAROLINA,141663,844,2022-10-10T03:00:00
CAGUAS,250514,1178,2022-10-10T03:00:00
MAYAGUEZ,216605,20014,2022-10-10T03:00:00
PONCE,212508,10583,2022-10-10T03:00:00
SAN JUAN,253068,1055,2022-10-10T03:00:00
ARECIBO,177369,23,2022-06-26T00:00:00
BAYAMON,216496,723,2022-06-26T00:00:00
CAROLINA,141663,1,2022-06-26T00:00:00
CAGUAS,250514,13,2022-06-26T00:00:00
MAYAGUEZ,216605,108,2022-06-26T00:00:00
PONCE,212508,722,2022-06-26T00:00:00
SAN JUAN,253068,289,2022-06-26T00:00:00
ARECIBO,177369,6994,2023-02-04T21:00:00
BAYAMON,216496,181,2023-02-04T21:00:00
CAROLINA,141663,0,2023-02-04T21:00:00
CAGUAS,250514,145,2023-02-04T21:00:00
MAYAGUEZ,216605,9,2023-02-04T21:00:00
PONCE,212508,27,2023-02-04T21:00:00
SAN JUAN,253068,3,2023-02-04T21:00:00
ARECIBO,177369,632,2023-03-31T15:00:00
BAYAMON,216496,148,2023-03-31T15:00:00
CAROLINA,141663,37,2023-03-31T15:00:00
CAGUAS,250514,134,2023-03-31T15:00:00
MAYAGUEZ,216605,703,2023-03-31T15:00:00
PONCE,212508,1766,2023-03-31T15:00:00
SAN JUAN,253068,193,2023-03-31T15:00:00
ARECIBO,177369,4,2023-03-18T12:00:00
BAYAMON,216496,40,2023-03-18T12:00:00
CAROLINA,141663,61,2023-03-18T12:00:00
CAGUAS,250514,20,2023-03-18T12:00:00
MAYAGUEZ,216605,173,2023-03-18T12:00:00
PONCE,212508,169,2023-03-18T12:00:00
SAN JUAN,253068,378,2023-03-18T12:00:00
ARECIBO,177369,1391,2022-05-24T18:00:00
BAYAMON,216496,98,2022-05-24T18:00:00
CAROLINA,141663,1679,2022-05-24T18:00:00
CAGUAS,250514,398,2022-05-24T18:00:00
MAYAGUEZ,216605,4914,2022-05-24T18:00:00
PONCE,212508,9,2022-05-24T18:00:00
SAN JUAN,253068,80,2022-05-24T18:00:00
ARECIBO,177369,23019,2022-11-15T00:00:00
BAYAMON,216496,4317,2022-11-15T00:00:00
CAROLINA,141663,26718,2022-11-15T00:00:00
CAGUAS,250514,6943,2022-11-15T00:00:00
MAYAGUEZ,216605,10361,2022-11-15T00:00:00
PONCE,212508,16840,2022-11-15T00:00:00
SAN JUAN,253068,2038,2022-11-15T00:00:00
ARECIBO,177369,5,2023-01-13T06:00:00
BAYAMON,216496,2,2023-01-13T06:00:00
CAROLINA,141663,11984,2023-01-13T06:00:00
CAGUAS,250514,11,2023-01-13T06:00:00
MAYAGUEZ,216605,85,2023-01-13T06:00:00
PONCE,212508,1,2023-01-13T06:00:00
SAN JUAN,253068,0,2023-01-13T06:00:00
ARECIBO,177369,719,2022-10-27T18:00:00
BAYAMON,216496,6033,2022-10-27T18:00:00
CAROLINA,141663,39,2022-10-27T18:00:00
CAGUAS,250514,6129,2022-10-27T18:00:00
MAYAGUEZ,216605,4869,2022-10-27T18:00:00
PONCE,212508,4130,2022-10-27T18:00:00
SAN JUAN,253068,508,2022-10-27T18:00:00
ARECIBO,177369,28,2023-03-14T09:00:00
BAYAMON,216496,338,2023-03-14T09:00:00
CAROLINA,141663,18,2023-03-14T09:00:00
CAGUAS,250514,11872,2023-03-14T09:00:00
MAYAGUEZ,216605,63,2023-03-14T09:00:00
PONCE,212508,2,2023-03-14T09:00:00
SAN JUAN,253068,1,2023-03-14T09:00:00
ARECIBO,177369,283,2022-05-25T12:00:00
BAYAMON,216496,726,2022-05-25T12:00:00
CAROLINA,141663,33,2022-05-25T12:00:00
CAGUAS,250514,116,2022-05-25T12:00:00
MAYAGUEZ,216605,1711,2022-05-25T12:00:00
