region,total_customers,affected_customers,created_at
MAYAGUEZ,216605,181,2022-10-24T09:00:00
PONCE,212508,312,2022-10-24T09:00:00
SAN JUAN,253068,421,2022-10-24T09:00:00
ARECIBO,177369,77,2022-12-01T09:00:00
BAYAMON,216496,90,2022-12-01T09:00:00
CAROLINA,141663,3,2022-12-01T09:00:00
CAGUAS,250514,281,2022-12-01T09:00:00
MAYAGUEZ,216605,20,2022-12-01T09:00:00
PONCE,212508,3,2022-12-01T09:00:00
SAN JUAN,253068,10,2022-12-01T09:00:00
ARECIBO,177369,716,2021-11-26T18:00:00
BAYAMON,216496,446,2021-11-26T18:00:00
CAROLINA,141663,17,2021-11-26T18:00:00
CAGUAS,250514,83,2021-11-26T18:00:00
MAYAGUEZ,216605,107,2021-11-26T18:00:00
PONCE,212508,56,2021-11-26T18:00:00
SAN JUAN,253068,1077,2021-11-26T18:00:00
ARECIBO,177369,198,2022-12-29T21:00:00
BAYAMON,216496,1060,2022-12-29T21:00:00
CAROLINA,141663,2,2022-12-29T21:00:00
CAGUAS,250514,165,2022-12-29T21:00:00
MAYAGUEZ,216605,167,2022-12-29T21:00:00
PONCE,212508,2,2022-12-29T21:00:00
SAN JUAN,253068,460,2022-12-29T21:00:00
ARECIBO,177369,786,2021-09-28T06:00:00
BAYAMON,216496,1486,2021-09-28T06:00:00
CAROLINA,141663,7277,2021-09-28T06:00:00
CAGUAS,250514,8596,2021-09-28T06:00:00
MAYAGUEZ,216605,413,2021-09-28T06:00:00
PONCE,212508,368,2021-09-28T06:00:00
SAN JUAN,253068,1431,2021-09-28T06:00:00
ARECIBO,177369,981,2023-04-10T00:00:00
BAYAMON,216496,3699,2023-04-10T00:00:00
CAROLINA,141663,18,2023-04-10T00:00:00
CAGUAS,250514,131,2023-04-10T00:00:00
MAYAGUEZ,216605,801,2023-04-10T00:00:00
PONCE,212508,0,2023-04-10T00:00:00
SAN JUAN,253068,104,2023-04-10T00:00:00
ARECIBO,177369,0,2022-08-14T18:00:00
BAYAMON,216496,10,2022-08-14T18:00:00
CAROLINA,141663,149,2022-08-14T18:00:00
CAGUAS,250514,203,2022-08-14T18:00:00
MAYAGUEZ,216605,1852,2022-08-14T18:00:00
PONCE,212508,3,2022-08-14T18:00:00
SAN JUAN,253068,528,2022-08-14T18:00:00
ARECIBO,177369,4,2021-12-18T06:00:00
BAYAMON,216496,46,2021-12-18T06:00:00
CAROLINA,141663,1,2021-12-18T06:00:00
CAGUAS,250514,63,2021-12-18T06:00:00
MAYAGUEZ,216605,194,2021-12-18T06:00:00
PONCE,212508,16,2021-12-18T06:00:00
SAN JUAN,253068,39,2021-12-18T06:00:00
ARECIBO,177369,1409,2022-10-28T00:00:00
BAYAMON,216496,1656,2022-10-28T00:00:00
CAROLINA,141663,97,2022-10-28T00:00:00
CAGUAS,250514,1021,2022-10-28T00:00:00
MAYAGUEZ,216605,8217,2022-10-28T00:00:00
PONCE,212508,827,2022-10-28T00:00:00
SAN JUAN,253068,319,2022-10-28T00:00:00
ARECIBO,177369,3,2023-03-16T03:00:00
BAYAMON,216496,384,2023-03-16T03:00:00
CAROLINA,141663,0,2023-03-16T03:00:00
CAGUAS,250514,41,2023-03-16T03:00:00
MAYAGUEZ,216605,1329,2023-03-16T03:00:00
PONCE,212508,26,2023-03-16T03:00:00
SAN JUAN,253068,270,2023-03-16T03:00:00
ARECIBO,177369,298,2022-03-17T00:00:00
BAYAMON,216496,540,2022-03-17T00:00:00
CAROLINA,141663,44,2022-03-17T00:00:00
CAGUAS,250514,584,2022-03-17T00:00:00
MAYAGUEZ,216605,10,2022-03-17T00:00:00
PONCE,212508,0,2022-03-17T00:00:00
SAN JUAN,253068,10,2022-03-17T00:00:00
ARECIBO,177369,261,2022-10-19T00:00:00
BAYAMON,216496,181,2022-10-19T00:00:00
CAROLINA,141663,20,2022-10-19T00:00:00
CAGUAS,250514,7,2022-10-19T00:00:00
MAYAGUEZ,216605,1878,2022-10-19T00:00:00
PONCE,212508,10574,2022-10-19T00:00:00
SAN JUAN,253068,419,2022-10-19T00:00:00
ARECIBO,177369,71,2022-12-22T15:00:00
BAYAMON,216496,462,2022-12-22T15:00:00
CAROLINA,141663,44,2022-12-22T15:00:00
CAGUAS,250514,2778,2022-12-22T15:00:00
MAYAGUEZ,216605,54,2022-12-22T15:00:00
PONCE,212508,7933,2022-12-22T15:00:00
SAN JUAN,253068,472,2022-12-22T15:00:00
ARECIBO,177369,1104,2022-07-04T06:00:00
BAYAMON,216496,1789,2022-07-04T06:00:00
CAROLINA,141663,738,2022-07-04T06:00:00
CAGUAS,250514,2700,2022-07-04T06:00:00
MAYAGUEZ,216605,2746,2022-07-04T06:00:00
PONCE,212508,1304,2022-07-04T06:00:00
SAN JUAN,253068,2356,2022-07-04T06:00:00
ARECIBO,177369,36897,2022-10-01T21:00:00
BAYAMON,216496,11863,2022-10-01T21:00:00
CAROLINA,141663,459,2022-10-01T21:00:00
CAGUAS,250514,17271,2022-10-01T21:00:00
MAYAGUEZ,216605,105755,2022-10-01T21:00:00
PONCE,212508,99306,2022-10-01T21:00:00
SAN JUAN,253068,1208,2022-10-01T21:00:00
ARECIBO,177369,576,2022-12-08T21:00:00
BAYAMON,216496,152,2022-12-08T21:00:00
CAROLINA,141663,15,2022-12-08T21:00:00
CAGUAS,250514,6494,2022-12-08T21:00:00
MAYAGUEZ,216605,87,2022-12-08T21:00:00
PONCE,212508,10,2022-12-08T21:00:00
SAN JUAN,253068,1075,2022-12-08T21:00:00
ARECIBO,177369,716,2022-11-03T00:00:00
BAYAMON,216496,1664,2022-11-03T00:00:00
CAROLINA,141663,1,2022-11-03T00:00:00
CAGUAS,250514,38,2022-11-03T00:00:00
MAYAGUEZ,216605,4179,2022-11-03T00:00:00
PONCE,212508,479,2022-11-03T00:00:00
SAN JUAN,253068,221,2022-11-03T00:00:00
ARECIBO,177369,3,2022-08-04T06:00:00
BAYAMON,216496,622,2022-08-04T06:00:00
CAROLINA,141663,216,2022-08-04T06:00:00
CAGUAS,250514,87,2022-08-04T06:00:00
MAYAGUEZ,216605,1643,2022-08-04T06:00:00
PONCE,212508,10,2022-08-04T06:00:00
SAN JUAN,253068,120,2022-08-04T06:00:00
ARECIBO,177369,313,2022-06-07T12:00:00
BAYAMON,216496,106,2022-06-07T12:00:00
CAROLINA,141663,200,2022-06-07T12:00:00
CAGUAS,250514,53,2022-06-07T12:00:00
MAYAGUEZ,216605,33,2022-06-07T12:00:00
