Distrito,Tipo I,Ases.,Viol.,Robo,Agr. Grave,Esc.,Apr. I,H. Auto,Date,Tasa de Desempleo,Num. Personas Desempleadas,Num. Personas Empleadas,Num. Personas Grupo Trabajador
Adjuntas,34.0,0.0,0.0,4.0,1.0,12.0,16.0,1.0,2010-01-01,19.7,1063.0,3959.0,5263.0
Ponce,243.0,4.0,0.0,26.0,14.0,52.0,123.0,24.0,2010-01-01,14.8,9336.0,51648.0,56538.0
Peñuelas,12.0,0.0,0.0,2.0,0.0,6.0,2.0,2.0,2010-01-01,20.2,1859.0,7205.0,7680.0
Patillas,13.0,0.0,0.0,0.0,4.0,6.0,3.0,0.0,2010-01-01,23.5,1704.0,4639.0,6241.0
Orocovis,22.0,0.0,0.0,0.0,0.0,10.0,12.0,0.0,2010-01-01,23.8,1206.0,4138.0,6018.0
Naranjito,38.0,1.0,0.0,2.0,2.0,14.0,12.0,7.0,2010-01-01,17.9,1543.0,6750.0,8251.0
Naguabo,20.0,2.0,0.0,0.0,1.0,15.0,2.0,0.0,2010-01-01,22.8,2044.0,5687.0,9338.0
Morovis,21.0,0.0,0.0,0.0,1.0,10.0,5.0,5.0,2010-01-01,21.1,2061.0,7162.0,9380.0
Quebradillas,12.0,0.0,0.0,1.0,0.0,3.0,8.0,0.0,2010-01-01,16.1,1236.0,6976.0,6777.0
Moca,20.0,0.0,0.0,1.0,0.0,8.0,8.0,3.0,2010-01-01,16.1,2503.0,12445.0,12266.0
Maunabo,6.0,0.0,0.0,1.0,1.0,4.0,0.0,0.0,2010-01-01,24.0,942.0,2631.0,3672.0
Maricao,12.0,0.0,0.0,0.0,0.0,6.0,6.0,0.0,2010-01-01,20.3,449.0,1472.0,2351.0
Manatí,39.0,1.0,0.0,1.0,2.0,8.0,8.0,19.0,2010-01-01,17.8,2660.0,11578.0,13877.0
Luquillo,41.0,4.0,0.0,0.0,6.0,18.0,13.0,0.0,2010-01-01,20.4,1522.0,5247.0,7427.0
Loiza,43.0,2.0,0.0,6.0,2.0,14.0,16.0,3.0,2010-01-01,19.7,1719.0,6801.0,10451.0
Las Piedras,26.0,1.0,0.0,5.0,0.0,9.0,10.0,1.0,2010-01-01,17.6,2458.0,10311.0,12557.0
Las Marías,6.0,0.0,0.0,1.0,0.0,4.0,1.0,0.0,2010-01-01,15.8,665.0,3458.0,3598.0
Mayagüez,170.0,1.0,0.0,12.0,5.0,45.0,95.0,12.0,2010-01-01,17.3,5055.0,23409.0,28291.0
Lares,51.0,0.0,0.0,6.0,3.0,22.0,19.0,1.0,2010-01-01,15.5,1655.0,9568.0,8045.0
Rincón,13.0,0.0,0.0,0.0,0.0,6.0,7.0,0.0,2010-01-01,18.5,957.0,4559.0,5113.0
Sabana Grande,26.0,0.0,0.0,1.0,1.0,7.0,16.0,1.0,2010-01-01,17.5,1621.0,7410.0,7608.0
Yauco,38.0,0.0,0.0,6.0,4.0,6.0,15.0,7.0,2010-01-01,15.3,2640.0,13204.0,12314.0
Yabucoa,38.0,0.0,0.0,3.0,3.0,17.0,14.0,1.0,2010-01-01,22.8,2887.0,8217.0,11274.0
Villalba,7.0,0.0,0.0,1.0,0.0,2.0,2.0,2.0,2010-01-01,19.6,2151.0,7531.0,9174.0
Vieques,19.0,0.0,0.0,2.0,0.0,8.0,8.0,1.0,2010-01-01,24.1,771.0,2280.0,3274.0
Vega Baja,56.0,2.0,0.0,11.0,1.0,15.0,10.0,17.0,2010-01-01,16.8,3551.0,16264.0,16703.0
Vega Alta,44.0,1.0,0.0,9.0,5.0,8.0,10.0,11.0,2010-01-01,15.7,1861.0,9905.0,11042.0
Utuado,90.0,0.0,0.0,2.0,3.0,43.0,42.0,0.0,2010-01-01,19.1,1636.0,7006.0,8093.0
Rio Grande,51.0,1.0,0.0,15.0,5.0,12.0,16.0,2.0,2010-01-01,16.6,2913.0,14387.0,19297.0
Trujillo Alto,71.0,0.0,0.0,8.0,1.0,29.0,29.0,4.0,2010-01-01,10.7,3194.0,29681.0,31008.0
Toa Alta,39.0,0.0,0.0,7.0,3.0,17.0,6.0,6.0,2010-01-01,11.9,3254.0,25709.0,27859.0
Santa Isabel,22.0,0.0,0.0,1.0,2.0,9.0,8.0,2.0,2010-01-01,23.8,1999.0,6536.0,11142.0
San Sebastián,26.0,0.0,0.0,1.0,3.0,17.0,4.0,1.0,2010-01-01,16.1,2660.0,12488.0,11976.0
San Lorenzo,26.0,1.0,0.0,2.0,1.0,14.0,8.0,0.0,2010-01-01,17.2,2436.0,11506.0,13686.0
San Juan,746.0,12.0,0.0,127.0,23.0,123.0,365.0,96.0,2010-01-01,11.8,15613.0,137112.0,158838.0
San Germán,11.0,0.0,0.0,1.0,0.0,4.0,6.0,0.0,2010-01-01,17.2,2162.0,10137.0,12131.0
Salinas,63.0,0.0,0.0,2.0,2.0,18.0,39.0,2.0,2010-01-01,23.3,2363.0,6515.0,9189.0
Toa Baja,124.0,0.0,0.0,24.0,4.0,32.0,45.0,19.0,2010-01-01,13.0,4175.0,28732.0,34583.0
Lajas,13.0,0.0,0.0,3.0,0.0,7.0,3.0,0.0,2010-01-01,17.7,1595.0,7039.0,6737.0
Aguada,33.0,0.0,0.0,1.0,2.0,18.0,10.0,2.0,2010-01-01,16.1,2675.0,12790.0,13771.0
Juana Díaz,27.0,1.0,0.0,1.0,0.0,14.0,10.0,1.0,2010-01-01,18.1,3025.0,14040.0,17364.0
Cayey,101.0,5.0,0.0,3.0,4.0,20.0,66.0,3.0,2010-01-01,18.0,2898.0,12180.0,18592.0
Cataño,15.0,0.0,0.0,0.0,1.0,6.0,7.0,1.0,2010-01-01,18.3,1350.0,5989.0,9437.0
Carolina,251.0,5.0,0.0,35.0,7.0,39.0,137.0,28.0,2010-01-01,13.1,9185.0,62693.0,72895.0
Canóvanas,63.0,1.0,0.0,8.0,5.0,25.0,22.0,2.0,2010-01-01,20.6,3196.0,11455.0,18097.0
Camuy,12.0,0.0,0.0,2.0,0.0,6.0,1.0,3.0,2010-01-01,14.7,1655.0,10540.0,10743.0
Caguas,163.0,0.0,0.0,21.0,8.0,66.0,46.0,22.0,2010-01-01,15.6,8488.0,43043.0,55843.0
Bayamón,594.0,3.0,0.0,87.0,11.0,102.0,297.0,94.0,2010-01-01,13.4,9645.0,66353.0,78272.0
Barranquitas,55.0,4.0,0.0,5.0,5.0,18.0,20.0,3.0,2010-01-01,19.2,1305.0,6104.0,8092.0
Barceloneta,29.0,3.0,0.0,1.0,0.0,14.0,0.0,11.0,2010-01-01,19.1,1582.0,5571.0,6711.0
Arroyo,16.0,0.0,0.0,0.0,0.0,12.0,4.0,0.0,2010-01-01,22.8,1526.0,4365.0,6402.0
Arecibo,91.0,2.0,0.0,12.0,7.0,35.0,11.0,24.0,2010-01-01,15.9,4972.0,26195.0,27959.0
Añasco,17.0,0.0,0.0,2.0,0.0,12.0,3.0,0.0,2010-01-01,17.2,1947.0,8679.0,10180.0
Aibonito,50.0,1.0,0.0,2.0,2.0,23.0,16.0,6.0,2010-01-01,17.7,1432.0,6105.0,7622.0
Aguas Buenas,26.0,0.0,0.0,2.0,1.0,19.0,4.0,0.0,2010-01-01,17.9,1780.0,7612.0,8131.0
Aguadilla,70.0,0.0,0.0,7.0,2.0,38.0,22.0,1.0,2010-01-01,16.6,3497.0,17513.0,17633.0
Ceiba,10.0,1.0,0.0,0.0,2.0,4.0,3.0,0.0,2010-01-01,18.1,964.0,4391.0,4767.0
Ciales,12.0,0.0,0.0,1.0,1.0,7.0,2.0,1.0,2010-01-01,23.6,1408.0,3929.0,4973.0
Cabo Rojo,37.0,0.0,0.0,2.0,2.0,22.0,7.0,4.0,2010-01-01,12.8,2604.0,17228.0,15755.0
Coamo,49.0,1.0,1.0,2.0,1.0,17.0,22.0,5.0,2010-01-01,21.6,2606.0,8728.0,12101.0
Cidra,38.0,1.0,1.0,3.0,4.0,22.0,7.0,0.0,2010-01-01,16.6,2692.0,12642.0,17792.0
Isabela,14.0,0.0,0.0,1.0,0.0,11.0,2.0,0.0,2010-01-01,17.6,2731.0,12708.0,13642.0
Humacao,106.0,1.0,0.0,7.0,4.0,48.0,45.0,1.0,2010-01-01,19.4,4502.0,15931.0,20864.0
Hormigueros,11.0,0.0,0.0,0.0,0.0,5.0,5.0,1.0,2010-01-01,15.0,1037.0,5430.0,6398.0
Hatillo,29.0,0.0,0.0,0.0,1.0,14.0,7.0,7.0,2010-01-01,17.1,2241.0,10374.0,13976.0
Gurabo,20.0,0.0,0.0,0.0,0.0,12.0,4.0,4.0,2010-01-01,15.8,2432.0,12962.0,17999.0
Guaynabo,152.0,5.0,0.0,15.0,4.0,24.0,91.0,13.0,2010-01-01,10.1,3465.0,37141.0,42193.0
Guayanilla,12.0,0.0,0.0,1.0,0.0,4.0,7.0,0.0,2010-01-01,22.0,1646.0,5388.0,6441.0
Jayuya,11.0,0.0,0.0,0.0,1.0,5.0,4.0,1.0,2010-01-01,21.7,923.0,3496.0,5171.0
Juncos,23.0,4.0,0.0,2.0,1.0,11.0,3.0,2.0,2010-01-01,18.0,2557.0,10488.0,13684.0
Guánica,9.0,0.0,0.0,0.0,1.0,3.0,4.0,1.0,2010-01-01,19.3,1284.0,5071.0,5126.0
Florida,12.0,0.0,0.0,0.0,0.0,7.0,3.0,2.0,2010-01-01,19.5,837.0,3467.0,3904.0
Fajardo,50.0,1.0,0.0,7.0,2.0,17.0,20.0,3.0,2010-01-01,18.5,2816.0,11359.0,14034.0
Dorado,49.0,0.0,0.0,8.0,7.0,13.0,14.0,7.0,2010-01-01,14.2,1606.0,10458.0,13820.0
Culebra,7.0,0.0,0.0,0.0,0.0,4.0,3.0,0.0,2010-01-01,12.5,92.0,686.0,834.0
Corozal,34.0,0.0,0.0,2.0,4.0,7.0,9.0,12.0,2010-01-01,16.4,1670.0,8361.0,10231.0
Comerío,24.0,1.0,0.0,1.0,5.0,7.0,10.0,0.0,2010-01-01,23.1,1153.0,3606.0,5791.0
Guayama,76.0,1.0,0.0,5.0,9.0,25.0,35.0,1.0,2010-01-01,21.6,3639.0,11598.0,15395.0
Ponce,243.0,4.0,0.0,26.0,14.0,52.0,123.0,24.0,2010-02-01,13.5,9177.0,52355.0,55635.0
Peñuelas,12.0,0.0,0.0,2.0,0.0,6.0,2.0,2.0,2010-02-01,17.9,1765.0,7276.0,7503.0
Patillas,13.0,0.0,0.0,0.0,4.0,6.0,3.0,0.0,2010-02-01,22.5,1632.0,4634.0,6086.0
Orocovis,22.0,0.0,0.0,0.0,0.0,10.0,12.0,0.0,2010-02-01,21.4,1223.0,4161.0,6002.0
Naranjito,38.0,1.0,0.0,2.0,2.0,14.0,12.0,7.0,2010-02-01,15.7,1534.0,6789.0,8169.0
Naguabo,20.0,2.0,0.0,0.0,1.0,15.0,2.0,0.0,2010-02-01,21.5,2001.0,5720.0,9206.0
Morovis,21.0,0.0,0.0,0.0,1.0,10.0,5.0,5.0,2010-02-01,19.6,2064.0,7203.0,9309.0
Quebradillas,12.0,0.0,0.0,1.0,0.0,3.0,8.0,0.0,2010-02-01,15.2,1356.0,7016.0,6845.0
Mayagüez,170.0,1.0,0.0,12.0,5.0,45.0,95.0,12.0,2010-02-01,15.9,4980.0,23581.0,27654.0
Maunabo,6.0,0.0,0.0,1.0,1.0,4.0,0.0,0.0,2010-02-01,22.5,939.0,2646.0,3632.0
Maricao,12.0,0.0,0.0,0.0,0.0,6.0,6.0,0.0,2010-02-01,19.4,429.0,1468.0,2329.0
Luquillo,41.0,4.0,0.0,0.0,6.0,18.0,13.0,0.0,2010-02-01,19.1,1491.0,5303.0,7312.0
Loiza,43.0,2.0,0.0,6.0,2.0,14.0,16.0,3.0,2010-02-01,18.1,1715.0,6841.0,10328.0
Las Piedras,26.0,1.0,0.0,5.0,0.0,9.0,10.0,1.0,2010-02-01,16.5,2374.0,10371.0,12349.0
Las Marías,6.0,0.0,0.0,1.0,0.0,4.0,1.0,0.0,2010-02-01,13.7,637.0,3500.0,3559.0
Moca,20.0,0.0,0.0,1.0,0.0,8.0,8.0,3.0,2010-02-01,15.2,2477.0,12576.0,12053.0
Manatí,39.0,1.0,0.0,1.0,2.0,8.0,8.0,19.0,2010-02-01,16.2,2583.0,11645.0,13647.0
Yauco,38.0,0.0,0.0,6.0,4.0,6.0,15.0,7.0,2010-02-01,14.6,2561.0,13336.0,12151.0
Sabana Grande,26.0,0.0,0.0,1.0,1.0,7.0,16.0,1.0,2010-02-01,15.9,1582.0,7485.0,7526.0
Lares,51.0,0.0,0.0,6.0,3.0,22.0,19.0,1.0,2010-02-01,13.9,1610.0,9669.0,7976.0
Yabucoa,38.0,0.0,0.0,3.0,3.0,17.0,14.0,1.0,2010-02-01,21.9,2803.0,8264.0,11083.0
Villalba,7.0,0.0,0.0,1.0,0.0,2.0,2.0,2.0,2010-02-01,18.8,2072.0,7635.0,8994.0
Vieques,19.0,0.0,0.0,2.0,0.0,8.0,8.0,1.0,2010-02-01,22.0,701.0,2335.0,3178.0
Vega Baja,56.0,2.0,0.0,11.0,1.0,15.0,10.0,17.0,2010-02-01,15.4,3468.0,16358.0,16463.0
Vega Alta,44.0,1.0,0.0,9.0,5.0,8.0,10.0,11.0,2010-02-01,14.4,1818.0,9962.0,10877.0
Utuado,90.0,0.0,0.0,2.0,3.0,43.0,42.0,0.0,2010-02-01,17.2,1636.0,7030.0,8018.0
Rio Grande,51.0,1.0,0.0,15.0,5.0,12.0,16.0,2.0,2010-02-01,15.2,2882.0,14471.0,19045.0
Trujillo Alto,71.0,0.0,0.0,8.0,1.0,29.0,29.0,4.0,2010-02-01,9.5,3114.0,29853.0,30501.0
Toa Alta,39.0,0.0,0.0,7.0,3.0,17.0,6.0,6.0,2010-02-01,10.6,3220.0,25858.0,27465.0
Santa Isabel,22.0,0.0,0.0,1.0,2.0,9.0,8.0,2.0,2010-02-01,20.2,1810.0,7007.0,11313.0
San Sebastián,26.0,0.0,0.0,1.0,3.0,17.0,4.0,1.0,2010-02-01,15.5,2634.0,12618.0,11794.0
San Lorenzo,26.0,1.0,0.0,2.0,1.0,14.0,8.0,0.0,2010-02-01,15.8,2364.0,11572.0,13471.0
San Juan,746.0,12.0,0.0,127.0,23.0,123.0,365.0,96.0,2010-02-01,10.8,15565.0,137906.0,156226.0
San Germán,11.0,0.0,0.0,1.0,0.0,4.0,6.0,0.0,2010-02-01,15.5,2122.0,10239.0,11982.0
Salinas,63.0,0.0,0.0,2.0,2.0,18.0,39.0,2.0,2010-02-01,21.5,2277.0,6521.0,8995.0
Toa Baja,124.0,0.0,0.0,24.0,4.0,32.0,45.0,19.0,2010-02-01,11.7,4198.0,28898.0,34167.0
Lajas,13.0,0.0,0.0,3.0,0.0,7.0,3.0,0.0,2010-02-01,16.5,1501.0,7111.0,6603.0
Rincón,13.0,0.0,0.0,0.0,0.0,6.0,7.0,0.0,2010-02-01,17.1,921.0,4607.0,4988.0
Juncos,23.0,4.0,0.0,2.0,1.0,11.0,3.0,2.0,2010-02-01,17.1,2497.0,10549.0,13491.0
Cataño,15.0,0.0,0.0,0.0,1.0,6.0,7.0,1.0,2010-02-01,16.8,1346.0,6023.0,9297.0
Carolina,251.0,5.0,0.0,35.0,7.0,39.0,137.0,28.0,2010-02-01,11.9,9236.0,63055.0,71977.0
Canóvanas,63.0,1.0,0.0,8.0,5.0,25.0,22.0,2.0,2010-02-01,19.5,3220.0,11520.0,17901.0
Camuy,12.0,0.0,0.0,2.0,0.0,6.0,1.0,3.0,2010-02-01,13.2,1818.0,10601.0,10854.0
Caguas,163.0,0.0,0.0,21.0,8.0,66.0,46.0,22.0,2010-02-01,14.5,8337.0,43292.0,55012.0
Cabo Rojo,37.0,0.0,0.0,2.0,2.0,22.0,7.0,4.0,2010-02-01,11.4,2531.0,17401.0,15531.0
Bayamón,594.0,3.0,0.0,87.0,11.0,102.0,297.0,94.0,2010-02-01,12.1,9546.0,66736.0,77080.0
Barranquitas,55.0,4.0,0.0,5.0,5.0,18.0,20.0,3.0,2010-02-01,16.7,1306.0,6139.0,8042.0
Barceloneta,29.0,3.0,0.0,1.0,0.0,14.0,0.0,11.0,2010-02-01,18.1,1624.0,5603.0,6685.0
Arroyo,16.0,0.0,0.0,0.0,0.0,12.0,4.0,0.0,2010-02-01,22.0,1497.0,4359.0,6282.0
Arecibo,91.0,2.0,0.0,12.0,7.0,35.0,11.0,24.0,2010-02-01,14.2,4978.0,26347.0,27828.0
Añasco,17.0,0.0,0.0,2.0,0.0,12.0,3.0,0.0,2010-02-01,16.0,1900.0,8770.0,9958.0
Aibonito,50.0,1.0,0.0,2.0,2.0,23.0,16.0,6.0,2010-02-01,15.9,1429.0,6140.0,7564.0
Aguas Buenas,26.0,0.0,0.0,2.0,1.0,19.0,4.0,0.0,2010-02-01,16.7,1747.0,7656.0,8012.0
Aguadilla,70.0,0.0,0.0,7.0,2.0,38.0,22.0,1.0,2010-02-01,14.9,3502.0,17698.0,17329.0
Aguada,33.0,0.0,0.0,1.0,2.0,18.0,10.0,2.0,2010-02-01,15.0,2620.0,12924.0,13475.0
Juana Díaz,27.0,1.0,0.0,1.0,0.0,14.0,10.0,1.0,2010-02-01,16.2,2938.0,14233.0,17119.0
Cayey,101.0,5.0,0.0,3.0,4.0,20.0,66.0,3.0,2010-02-01,16.7,2848.0,12250.0,18293.0
Ceiba,10.0,1.0,0.0,0.0,2.0,4.0,3.0,0.0,2010-02-01,16.4,963.0,4438.0,4701.0
Adjuntas,34.0,0.0,0.0,4.0,1.0,12.0,16.0,1.0,2010-02-01,18.7,989.0,3985.0,5199.0
Cidra,38.0,1.0,1.0,3.0,4.0,22.0,7.0,0.0,2010-02-01,15.6,2638.0,12716.0,17514.0
Ciales,12.0,0.0,0.0,1.0,1.0,7.0,2.0,1.0,2010-02-01,22.1,1358.0,3952.0,4881.0
Isabela,14.0,0.0,0.0,1.0,0.0,11.0,2.0,0.0,2010-02-01,16.4,2719.0,12842.0,13424.0
Humacao,106.0,1.0,0.0,7.0,4.0,48.0,45.0,1.0,2010-02-01,18.4,4319.0,16024.0,20421.0
Hormigueros,11.0,0.0,0.0,0.0,0.0,5.0,5.0,1.0,2010-02-01,13.4,971.0,5470.0,6219.0
Hatillo,29.0,0.0,0.0,0.0,1.0,14.0,7.0,7.0,2010-02-01,17.4,2328.0,10434.0,14023.0
Gurabo,20.0,0.0,0.0,0.0,0.0,12.0,4.0,4.0,2010-02-01,14.2,2392.0,13036.0,17737.0
Guaynabo,152.0,5.0,0.0,15.0,4.0,24.0,91.0,13.0,2010-02-01,8.8,3430.0,37357.0,41497.0
Guayanilla,12.0,0.0,0.0,1.0,0.0,4.0,7.0,0.0,2010-02-01,20.1,1574.0,5442.0,6346.0
Jayuya,11.0,0.0,0.0,0.0,1.0,5.0,4.0,1.0,2010-02-01,19.6,1024.0,3485.0,5146.0
Guánica,9.0,0.0,0.0,0.0,1.0,3.0,4.0,1.0,2010-02-01,17.8,1282.0,5121.0,5114.0
Florida,12.0,0.0,0.0,0.0,0.0,7.0,3.0,2.0,2010-02-01,19.3,865.0,3487.0,3895.0
Fajardo,50.0,1.0,0.0,7.0,2.0,17.0,20.0,3.0,2010-02-01,17.3,2694.0,11480.0,13735.0
Dorado,49.0,0.0,0.0,8.0,7.0,13.0,14.0,7.0,2010-02-01,12.6,1626.0,10518.0,13658.0
Culebra,7.0,0.0,0.0,0.0,0.0,4.0,3.0,0.0,2010-02-01,13.3,91.0,679.0,825.0
Corozal,34.0,0.0,0.0,2.0,4.0,7.0,9.0,12.0,2010-02-01,14.9,1636.0,8409.0,10111.0
Comerío,24.0,1.0,0.0,1.0,5.0,7.0,10.0,0.0,2010-02-01,21.0,1280.0,3626.0,5876.0
Guayama,76.0,1.0,0.0,5.0,9.0,25.0,35.0,1.0,2010-02-01,20.2,3553.0,11585.0,15079.0
Coamo,49.0,1.0,1.0,2.0,1.0,17.0,22.0,5.0,2010-02-01,20.4,2525.0,8737.0,11979.0
Peñuelas,17.0,0.0,0.0,5.0,1.0,6.0,5.0,0.0,2010-03-01,24.2,1837.0,5821.0,7575.0
Patillas,18.0,1.0,0.0,1.0,0.0,8.0,8.0,0.0,2010-03-01,27.3,1649.0,4537.0,6088.0
Orocovis,45.0,0.0,0.0,0.0,3.0,20.0,13.0,9.0,2010-03-01,20.0,1411.0,4812.0,6144.0
Naranjito,41.0,0.0,0.0,2.0,0.0,17.0,15.0,7.0,2010-03-01,18.7,1550.0,6708.0,8140.0
Naguabo,21.0,0.0,0.0,2.0,0.0,12.0,7.0,0.0,2010-03-01,21.9,2089.0,7294.0,9233.0
Morovis,16.0,0.0,0.0,1.0,1.0,12.0,2.0,0.0,2010-03-01,22.0,2148.0,7319.0,9346.0
Moca,28.0,0.0,0.0,1.0,1.0,17.0,8.0,1.0,2010-03-01,20.4,2412.0,9763.0,11979.0
Manatí,41.0,1.0,0.0,3.0,0.0,13.0,12.0,12.0,2010-03-01,19.2,2604.0,11217.0,13606.0
Maunabo,19.0,0.0,0.0,1.0,5.0,7.0,6.0,0.0,2010-03-01,25.7,973.0,2730.0,3651.0
Maricao,9.0,0.0,0.0,0.0,2.0,5.0,2.0,0.0,2010-03-01,19.1,428.0,1902.0,2284.0
Luquillo,42.0,0.0,0.0,1.0,9.0,9.0,19.0,4.0,2010-03-01,20.5,1469.0,5905.0,7258.0
Loiza,45.0,2.0,0.0,3.0,2.0,12.0,25.0,1.0,2010-03-01,16.4,1724.0,8732.0,10295.0
Las Piedras,36.0,0.0,0.0,2.0,3.0,13.0,18.0,0.0,2010-03-01,19.6,2456.0,10099.0,12367.0
Las Marías,14.0,0.0,0.0,1.0,0.0,6.0,6.0,1.0,2010-03-01,18.5,636.0,2933.0,3648.0
Ponce,297.0,6.0,2.0,18.0,20.0,73.0,153.0,25.0,2010-03-01,16.5,9307.0,47202.0,55773.0
Mayagüez,195.0,1.0,0.0,16.0,12.0,78.0,86.0,2.0,2010-03-01,17.9,5032.0,23236.0,27919.0
Lares,37.0,0.0,0.0,1.0,2.0,19.0,14.0,1.0,2010-03-01,20.6,1657.0,6390.0,7962.0
San Sebastián,25.0,0.0,0.0,0.0,1.0,15.0,7.0,2.0,2010-03-01,22.2,2658.0,9316.0,11776.0
Rincón,29.0,0.0,0.0,0.0,2.0,8.0,18.0,1.0,2010-03-01,18.7,935.0,4156.0,5003.0
Lajas,12.0,0.0,0.0,0.0,0.0,8.0,4.0,0.0,2010-03-01,23.7,1518.0,5142.0,6591.0
Yabucoa,55.0,0.0,0.0,3.0,3.0,28.0,21.0,0.0,2010-03-01,25.6,2949.0,8387.0,11176.0
Villalba,9.0,0.0,0.0,1.0,0.0,3.0,3.0,2.0,2010-03-01,23.4,2061.0,7023.0,8972.0
Vieques,18.0,1.0,0.0,0.0,0.0,12.0,5.0,0.0,2010-03-01,23.5,676.0,2503.0,3154.0
Vega Baja,56.0,0.0,0.0,3.0,1.0,14.0,23.0,15.0,2010-03-01,21.3,3470.0,13152.0,16391.0
Vega Alta,42.0,3.0,0.0,4.0,2.0,7.0,9.0,17.0,2010-03-01,16.9,1786.0,9181.0,10801.0
Utuado,93.0,0.0,0.0,5.0,1.0,42.0,41.0,4.0,2010-03-01,20.2,1677.0,6457.0,8033.0
Trujillo Alto,63.0,0.0,0.0,8.0,1.0,27.0,23.0,4.0,2010-03-01,10.3,3106.0,27814.0,30367.0
Toa Baja,123.0,4.0,0.0,16.0,3.0,31.0,41.0,28.0,2010-03-01,12.1,4257.0,30408.0,34085.0
Toa Alta,40.0,0.0,0.0,3.0,3.0,14.0,9.0,11.0,2010-03-01,11.7,3207.0,24605.0,27340.0
Santa Isabel,43.0,0.0,0.0,2.0,1.0,16.0,21.0,3.0,2010-03-01,17.9,1792.0,9143.0,11406.0
San Lorenzo,30.0,1.0,0.0,4.0,1.0,22.0,1.0,1.0,2010-03-01,17.8,2372.0,11250.0,13417.0
San Juan,879.0,12.0,0.0,114.0,27.0,163.0,431.0,132.0,2010-03-01,9.8,15578.0,143225.0,155622.0
San Germán,18.0,0.0,0.0,1.0,0.0,9.0,5.0,3.0,2010-03-01,17.8,2150.0,9969.0,11988.0
Salinas,57.0,0.0,0.0,4.0,1.0,14.0,37.0,1.0,2010-03-01,25.7,2327.0,6826.0,9002.0
Sabana Grande,10.0,0.0,0.0,0.0,0.0,4.0,6.0,0.0,2010-03-01,21.3,1586.0,5987.0,7510.0
Rio Grande,42.0,2.0,0.0,9.0,3.0,17.0,10.0,1.0,2010-03-01,15.1,2915.0,16384.0,18996.0
Quebradillas,10.0,0.0,0.0,0.0,0.0,3.0,5.0,2.0,2010-03-01,18.2,1395.0,5541.0,6935.0
Juncos,23.0,1.0,0.0,4.0,0.0,11.0,7.0,0.0,2010-03-01,18.7,2513.0,11127.0,13444.0
Yauco,36.0,0.0,0.0,4.0,4.0,8.0,15.0,5.0,2010-03-01,21.4,2656.0,9674.0,12196.0
Jayuya,10.0,0.0,0.0,0.0,0.0,8.0,2.0,0.0,2010-03-01,17.8,1029.0,4248.0,5115.0
Carolina,265.0,2.0,0.0,34.0,10.0,53.0,149.0,17.0,2010-03-01,12.6,9274.0,63710.0,71730.0
Canóvanas,47.0,4.0,0.0,4.0,2.0,19.0,15.0,3.0,2010-03-01,17.7,3248.0,14901.0,17866.0
Camuy,15.0,0.0,0.0,0.0,0.0,13.0,1.0,1.0,2010-03-01,15.4,1865.0,9088.0,10970.0
Caguas,180.0,3.0,0.0,20.0,8.0,60.0,66.0,23.0,2010-03-01,15.2,8451.0,47355.0,54885.0
Cabo Rojo,32.0,0.0,0.0,0.0,2.0,17.0,13.0,0.0,2010-03-01,16.5,2575.0,13151.0,15543.0
Bayamón,673.0,7.0,0.0,91.0,10.0,128.0,342.0,95.0,2010-03-01,12.3,9682.0,68627.0,76912.0
Barranquitas,36.0,0.0,0.0,1.0,2.0,18.0,11.0,4.0,2010-03-01,16.1,1318.0,6787.0,7999.0
Cataño,17.0,0.0,0.0,2.0,0.0,7.0,3.0,5.0,2010-03-01,14.3,1350.0,8087.0,9266.0
Barceloneta,17.0,0.0,0.0,4.0,0.0,5.0,2.0,6.0,2010-03-01,23.6,1704.0,5129.0,6736.0
Arecibo,61.0,2.0,0.0,9.0,3.0,17.0,11.0,19.0,2010-03-01,17.8,5080.0,22987.0,28140.0
Añasco,11.0,0.0,0.0,0.0,1.0,6.0,3.0,1.0,2010-03-01,19.1,1942.0,8233.0,9995.0
Aibonito,46.0,0.0,0.0,2.0,2.0,11.0,28.0,3.0,2010-03-01,18.8,1419.0,6190.0,7498.0
Aguas Buenas,30.0,1.0,0.0,7.0,3.0,13.0,6.0,0.0,2010-03-01,21.9,1760.0,6351.0,7991.0
Aguadilla,86.0,0.0,0.0,9.0,8.0,37.0,29.0,3.0,2010-03-01,19.8,3518.0,14136.0,17356.0
Aguada,54.0,1.0,0.0,1.0,3.0,24.0,23.0,2.0,2010-03-01,19.4,2634.0,11096.0,13492.0
Adjuntas,36.0,0.0,0.0,3.0,0.0,15.0,17.0,1.0,2010-03-01,20.2,985.0,4200.0,5109.0
Arroyo,23.0,2.0,0.0,0.0,3.0,5.0,13.0,0.0,2010-03-01,23.8,1494.0,4876.0,6263.0
Juana Díaz,39.0,0.0,0.0,7.0,1.0,21.0,9.0,1.0,2010-03-01,17.4,2973.0,14339.0,17120.0
Cayey,60.0,1.0,0.0,2.0,2.0,17.0,34.0,4.0,2010-03-01,15.6,2919.0,15694.0,18292.0
Cidra,30.0,1.0,0.0,4.0,1.0,16.0,3.0,5.0,2010-03-01,15.1,2727.0,15100.0,17531.0
Isabela,21.0,1.0,0.0,3.0,1.0,6.0,9.0,1.0,2010-03-01,20.0,2680.0,10911.0,13385.0
