State,Annual Change,Annual Change,Annual Change,Annual Change,Annual Change,Annual Change,Cumulative Change,Cumulative Change,Cumulative Change,Cumulative Change,Cumulative Change,Cumulative Change
,Total Change,Natural Change,Births,Deaths,Net Migration (Total),Net Migration (International),Total Change,Natural Change,Births,Deaths,Net Migration (Total),Net Migration (International)
Puerto Rico,-40904.0,-14457.0,19645.0,34102.0,-26447.0,-26447.0,-64085.0,-31760.0,42984.0,74744.0,-32325.0,-32325.0
